,ticker,year,post_to,pl_dtt,pl_lnctm,pl_lntt,bs_tts,bs_vcsh,pl_tnlt,Industry3,Industry2,Industry1,count
8,A32,2016,UPCoM,629259462639.0,36473362657.0,43247838588.0,465004792851.0,163401905670.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
9,A32,2017,UPCoM,611820717623.0,35443022026.0,41944965784.0,500992328357.0,176283306329.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
10,A32,2018,UPCoM,646194779056.0,43095883812.0,51500794696.0,468841123434.0,200811775837.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
11,A32,2019,UPCoM,691485702395.0,46960820197.0,56594619434.0,434930314417.0,223612748462.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
12,A32,2020,UPCoM,728581046415.0,42107027168.0,50583077135.0,488295453917.0,242216942600.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
13,A32,2021,UPCoM,650148136248.0,34609256742.0,41749995928.0,528130895998.0,238385190324.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,6
14,AAA,2008,HOSE,248333423938.0,22874646653.0,22874646653.0,271331447740.0,102394201148.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
15,AAA,2009,HOSE,384533482632.0,37722752350.0,38379687448.0,436850825828.0,121607680330.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
16,AAA,2010,HOSE,679314702046.0,90225323640.0,99746899707.0,644978521731.0,322538785978.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
17,AAA,2011,HOSE,910634130507.0,65474696247.0,77900481064.0,816617975389.0,350355248453.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
18,AAA,2012,HOSE,1010033232452.0,55141777899.0,66623577625.0,900493789878.0,518556655257.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
19,AAA,2013,HOSE,1157507782869.0,54935816239.0,71086784849.0,1150569204633.0,543446500724.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
20,AAA,2014,HOSE,1560643609091.0,46963561091.0,57200304377.0,1421650734913.0,786325823263.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
