,ticker,year,post_to,pl_dtt,pl_lnctm,pl_lntt,bs_tts,bs_vcsh,pl_tnlt,Industry3,Industry2,Industry1,count
21,AAA,2015,HOSE,1614548947901.0,40015870985.0,50614922554.0,1954764678040.0,819485268245.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
22,AAA,2016,HOSE,2143769808850.0,141985475965.0,166596782039.0,3077615978737.0,954752102324.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
23,AAA,2017,HOSE,4069608303141.0,223342661746.0,328054307275.0,4576157128799.0,1624970288622.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
24,AAA,2018,HOSE,8011572613389.0,180260475000.0,253984323184.0,7529166722403.0,2980250148691.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
25,AAA,2019,HOSE,9258073280674.0,460465909779.0,597393373124.0,7987454158531.0,3255238193170.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
26,AAA,2020,HOSE,7428557015044.0,262240818737.0,318748516546.0,8569414400908.0,4023962458501.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
27,AAA,2021,HOSE,13143109864001.0,290241012297.0,397868051996.0,10009526635291.0,5454381737050.0,,Bao bì và đóng gói,Vật liệu xây dựng,Nguyên vật liệu,14
28,AAM,2008,HOSE,398517106702.0,2406263292.0,3230100907.0,300654875113.0,280941397097.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
29,AAM,2009,HOSE,463375973652.0,52513274925.0,62781194840.0,363934945408.0,314208025770.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
30,AAM,2010,HOSE,500402697247.0,45674816754.0,50535831985.0,331336238364.0,291660595816.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
31,AAM,2011,HOSE,639296313249.0,63997192416.0,78522161000.0,329976675302.0,287152945785.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
32,AAM,2012,HOSE,485567125446.0,14000511182.0,17823752616.0,285760676675.0,255320708285.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
33,AAM,2013,HOSE,533486920167.0,8187352343.0,10930272878.0,302071507044.0,258289313422.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
34,AAM,2014,HOSE,439016740568.0,8881282070.0,11713506875.0,297191017647.0,257344650127.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
35,AAM,2015,HOSE,349631008741.0,2563684319.0,3103652488.0,321933766257.0,249653265014.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
36,AAM,2016,HOSE,274778205874.0,1569522682.0,1904151011.0,257903768434.0,244978414828.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
37,AAM,2017,HOSE,224189186844.0,1131598086.0,1175373508.0,251560593521.0,240957002605.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
38,AAM,2018,HOSE,218263890048.0,9591230681.0,11911379426.0,229959036787.0,211679054829.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
39,AAM,2019,HOSE,216121936349.0,8308840156.0,10265178848.0,227507959520.0,211415416669.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
40,AAM,2020,HOSE,120886522630.0,-11967345859.0,-11995325165.0,210819262649.0,194100979810.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
41,AAM,2021,HOSE,134110305244.0,225510011.0,227580354.0,201087507683.0,194326489821.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
42,AAT,2020,HOSE,287098931865.0,14038467792.0,18630112181.0,579863831008.0,424933545217.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,2
43,AAT,2021,HOSE,473174997084.0,28813656259.0,36698571097.0,976612415331.0,668736814476.0,,"Dệt may & Trang phục, phụ kiện",Hàng tiêu dùng lâu bền và trang phục,Hàng tiêu dùng không thiết yếu,2
50,AAV,2014,HNX,14659320102.0,-424613663.0,-512180537.0,264800567179.0,22766247272.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
51,AAV,2015,HNX,87365153539.0,1372217791.0,1640847473.0,273676085929.0,24252648198.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
52,AAV,2016,HNX,163721670913.0,14300994423.0,19257117231.0,357029033633.0,157312455001.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
53,AAV,2017,HNX,244738549346.0,19028537875.0,27936479515.0,369685784116.0,166112553322.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
54,AAV,2018,HNX,469405732945.0,34149431990.0,47400463674.0,390152649178.0,198710766800.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
55,AAV,2019,HNX,547472229156.0,29217425623.0,39633079955.0,588735324160.0,373094271991.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
56,AAV,2020,HNX,323656900902.0,13342501587.0,17768880453.0,600719705478.0,387476564004.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
57,AAV,2021,HNX,500844443428.0,25079480434.0,38566222368.0,991979409314.0,806780814611.0,,Bất động sản phức hợp,Quản lý và phát triển bất động sản,Bất động sản,8
58,ABB,2008,UPCoM,,49696000000.0,65414000000.0,13494125000000.0,3955514000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
59,ABB,2009,UPCoM,,311647000000.0,412615000000.0,26518084000000.0,4489436000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
60,ABB,2010,UPCoM,,496149000000.0,661413000000.0,38015689000000.0,4652209000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
61,ABB,2011,UPCoM,,307046000000.0,401634000000.0,41541959000000.0,4723090000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
62,ABB,2012,UPCoM,,399290000000.0,528262000000.0,46013686000000.0,4900245000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
63,ABB,2013,UPCoM,,140562000000.0,185111000000.0,57791897000000.0,5724108000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
64,ABB,2014,UPCoM,,116973000000.0,151107000000.0,67464850000000.0,5715376000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
65,ABB,2015,UPCoM,,91279000000.0,118363000000.0,64374686000000.0,5790261000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
66,ABB,2016,UPCoM,,243914000000.0,305157000000.0,74171503000000.0,5842462000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
67,ABB,2017,UPCoM,,488836000000.0,610441000000.0,84503069000000.0,6118589000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
68,ABB,2018,UPCoM,,714907000000.0,927975000000.0,89997891000000.0,6868745000000.0,,Ngân hàng,Ngân hàng,Tài chính,12
69,ABB,2019,UPCoM,,1014803351579.0,1273838137183.0,102620423020242.0,7856908558268.0,,Ngân hàng,Ngân hàng,Tài chính,12
72,ABC,2008,UPCoM,209905387207.0,31743192554.0,42813859477.0,116967863049.0,58884264052.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
73,ABC,2009,UPCoM,285068134915.0,65889010409.0,79384813789.0,188246461898.0,117866420018.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
74,ABC,2010,UPCoM,341357025617.0,115392142334.0,152513856449.0,297138577988.0,186233400976.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
75,ABC,2011,UPCoM,770796993335.0,133590211514.0,176181333560.0,828123050450.0,447976711585.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
76,ABC,2012,UPCoM,1570806576456.0,137664132179.0,184972299717.0,773163594882.0,534055743177.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
77,ABC,2013,UPCoM,2664038911149.0,96671010946.0,133061484387.0,779746593024.0,567908727024.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
78,ABC,2014,UPCoM,2361710422749.0,55079837301.0,82449536376.0,751885732883.0,591862583226.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
79,ABC,2015,UPCoM,4103584641066.0,78318187942.0,106643897226.0,903869156495.0,615741290231.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
80,ABC,2016,UPCoM,7306196984097.0,82433740624.0,116169026722.0,1178801613555.0,689555243462.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
81,ABC,2017,UPCoM,4236069360770.0,316664795156.0,408427610399.0,710254647438.0,544981920015.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
82,ABC,2018,UPCoM,935968481132.0,24041262193.0,30824295066.0,831814499514.0,562975252516.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
83,ABC,2019,UPCoM,2294099928691.0,27262568431.0,37309686985.0,858039942735.0,568541813981.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
84,ABC,2020,UPCoM,3370735737158.0,35250212118.0,44996880768.0,879819953347.0,572910544794.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
85,ABC,2021,UPCoM,1525530077939.0,-586950615410.0,-582485173898.0,924169223969.0,-227093315382.0,,Công nghệ thông tin tích hợp,Công nghệ thông tin tích hợp,Công nghệ,14
93,ABR,2015,HOSE,24882382830.0,1137114170.0,1422032659.0,39862279788.0,31139410180.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
94,ABR,2016,HOSE,30279746200.0,1770965073.0,2245247760.0,35376409769.0,33128625219.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
95,ABR,2017,HOSE,28484385520.0,756675131.0,966801750.0,38629869905.0,33898038958.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
96,ABR,2018,HOSE,21250147000.0,1726638600.0,2158298250.0,35989674403.0,33313379689.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
97,ABR,2019,HOSE,27047585936.0,8398405939.0,10757523684.0,258433508498.0,211711785628.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
98,ABR,2020,HOSE,98258258741.0,24728636392.0,30403849158.0,282442902551.0,236440422020.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
99,ABR,2021,HOSE,91154043167.0,19324742565.0,23470767691.0,312514908356.0,255765164585.0,,Bán lẻ,Bán lẻ,Hàng tiêu dùng không thiết yếu,7
109,ABS,2017,HOSE,563967836152.0,29104790018.0,36512709323.0,535152262001.0,340793682286.0,,Phân bón,Nguyên vật liệu,Nguyên vật liệu,5
110,ABS,2018,HOSE,472413878399.0,29574467704.0,37391553520.0,580656601836.0,370368149990.0,,Phân bón,Nguyên vật liệu,Nguyên vật liệu,5
111,ABS,2019,HOSE,790568426368.0,33021177534.0,42328556226.0,663350291172.0,403427654800.0,,Phân bón,Nguyên vật liệu,Nguyên vật liệu,5
112,ABS,2020,HOSE,1103963430657.0,47909667474.0,60146720755.0,1170095773785.0,435286263398.0,,Phân bón,Nguyên vật liệu,Nguyên vật liệu,5
113,ABS,2021,HOSE,1198652069061.0,65351945620.0,81988753895.0,1592951748069.0,926404122645.0,,Phân bón,Nguyên vật liệu,Nguyên vật liệu,5
114,ABT,2008,HOSE,473427696297.0,22585768533.0,24131936033.0,386163919132.0,343125865225.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
115,ABT,2009,HOSE,543918790478.0,90934284435.0,102246515911.0,537004057773.0,440454803735.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
116,ABT,2010,HOSE,685192287603.0,93876961843.0,106835420570.0,601925220587.0,444278121028.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
117,ABT,2011,HOSE,662822051719.0,99782842787.0,106801324264.0,478108949971.0,392308770147.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
118,ABT,2012,HOSE,634180318830.0,79112873890.0,86074506479.0,516133213855.0,384504437996.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
119,ABT,2013,HOSE,534534415471.0,73928882002.0,86424540292.0,688269296401.0,414813988498.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
120,ABT,2014,HOSE,452531174507.0,77505439966.0,90438068464.0,656658217504.0,415708724074.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
121,ABT,2015,HOSE,474006780872.0,72701038562.0,77719489956.0,584715408694.0,411308116436.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
122,ABT,2016,HOSE,422104871889.0,47670539891.0,54146580908.0,649276469260.0,415706533927.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
123,ABT,2017,HOSE,383695267668.0,28224983257.0,33041232180.0,634346217726.0,404122206324.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
124,ABT,2018,HOSE,395938370327.0,66728981488.0,73553941023.0,535545315630.0,419677992812.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
125,ABT,2019,HOSE,361150388856.0,48695389251.0,50704721737.0,538461616877.0,413141657575.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
126,ABT,2020,HOSE,318110066173.0,13850533114.0,16365260066.0,543675163240.0,410683399132.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
127,ABT,2021,HOSE,341647434418.0,33793208794.0,36378706262.0,594273998812.0,418595693926.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
130,AC4,2010,OTC,183150386618.0,5708754262.0,7618687372.0,178969976111.0,30573651729.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
131,AC4,2011,OTC,275194943314.0,7159774883.0,9880437828.0,172216116421.0,31422582550.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
132,AC4,2012,OTC,300006982138.0,7307634372.0,10054753364.0,180208988709.0,32399790987.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
133,AC4,2013,OTC,330180884122.0,8554811719.0,10522459627.0,195836275182.0,34955488568.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
134,AC4,2014,OTC,365516336842.0,8171877638.0,10532366203.0,220376965775.0,35985148667.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
135,AC4,2015,OTC,405645909277.0,8536820332.0,10950086883.0,407893770809.0,38403311933.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
136,AC4,2016,OTC,500486078936.0,9948241597.0,12440974765.0,457152114304.0,40606986635.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
137,AC4,2017,OTC,502608385026.0,9970384054.0,12509370428.0,340053554196.0,42791223075.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
138,AC4,2018,OTC,456306232032.0,8955883015.0,11240166511.0,264969516510.0,45126319738.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
139,AC4,2019,OTC,435990368816.0,8735996940.0,10961872741.0,324414932751.0,47267024443.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,10
142,ACC,2008,HOSE,148758327790.0,21043043383.0,27615589528.0,172136062827.0,74805443383.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
143,ACC,2009,HOSE,274968258359.0,56442669400.0,57016497720.0,221594968388.0,121769636639.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
144,ACC,2010,HOSE,316444392614.0,58280871616.0,58703917729.0,240124293702.0,172222482963.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
145,ACC,2011,HOSE,336335446614.0,61426782292.0,62539597900.0,254023674935.0,192142634933.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
146,ACC,2012,HOSE,377421354551.0,61402585081.0,65626021677.0,276922021217.0,207097948581.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
147,ACC,2013,HOSE,361050436868.0,34276518940.0,38112252276.0,247470088241.0,197775433032.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
148,ACC,2014,HOSE,344274431439.0,37958777261.0,44020415830.0,336027603759.0,199997518023.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
149,ACC,2015,HOSE,350064920258.0,37748982750.0,47245833672.0,342567797425.0,230871896242.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
150,ACC,2016,HOSE,401991176643.0,41908819774.0,54262579767.0,322039408163.0,221324026528.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
151,ACC,2017,HOSE,276202670898.0,24159094995.0,33306764793.0,332878814018.0,223570753174.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
152,ACC,2018,HOSE,380456965040.0,30910184804.0,42063502048.0,367048564435.0,231978573373.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
153,ACC,2019,HOSE,473638332071.0,42339968607.0,57274742812.0,497020015810.0,248582839502.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
154,ACC,2020,HOSE,484860108810.0,59315566214.0,78801863396.0,913004267902.0,506726575400.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
155,ACC,2021,HOSE,352999336076.0,37605046079.0,47262796144.0,1175563025601.0,475085989877.0,,Xây dựng,Tư liệu sản xuất,Công nghiệp,14
156,ACE,2008,UPCoM,163857371227.0,9003541902.0,11490336060.0,97922986688.0,30762700665.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
157,ACE,2009,UPCoM,149953404280.0,11696006631.0,14818150099.0,95367262684.0,34706195898.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
158,ACE,2010,UPCoM,189204828093.0,15848794708.0,20712755326.0,103942252891.0,41351875793.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
159,ACE,2011,UPCoM,242212634624.0,15580978271.0,20744660389.0,157806921917.0,49969229256.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
160,ACE,2012,UPCoM,192070481046.0,9232261763.0,12288147558.0,123185714908.0,51128665169.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
161,ACE,2013,UPCoM,179733863371.0,8319502144.0,11070908475.0,124152534259.0,51562609016.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
162,ACE,2014,UPCoM,237711072637.0,10839398204.0,14007860387.0,124022100874.0,55356187220.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
163,ACE,2015,UPCoM,253321333060.0,18666680364.0,23943316727.0,133766329511.0,67034385531.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
164,ACE,2016,UPCoM,278391751801.0,20852976076.0,25871800394.0,132109263186.0,70255463296.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
165,ACE,2017,UPCoM,256824109389.0,15011312190.0,18652425737.0,119753520448.0,71305088486.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
166,ACE,2018,UPCoM,249914448253.0,12832516292.0,15876609692.0,149640085005.0,69209871278.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
167,ACE,2019,UPCoM,285490613361.0,15311476810.0,18979719198.0,161298865053.0,69895605788.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
168,ACE,2020,UPCoM,294695478559.0,19070726476.0,23816108764.0,200510274930.0,72473213696.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
169,ACE,2021,UPCoM,251196194286.0,19224555979.0,23933894974.0,181932983366.0,72969255175.0,,Vật liệu xây dựng,Vật liệu xây dựng,Nguyên vật liệu,14
170,ACG,2021,UPCoM,3293507585511.0,451279222834.0,546416590445.0,4982919025724.0,3776798905190.0,,Gỗ và các sản phẩm từ gỗ,Giấy và các sản phẩm từ gỗ,Nguyên vật liệu,1
171,ACL,2008,HOSE,649134893396.0,71460092417.0,74465633962.0,392256881834.0,140464794413.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
172,ACL,2009,HOSE,720136543703.0,50290373481.0,54203192338.0,613944392997.0,177753746452.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
173,ACL,2010,HOSE,1078439055808.0,59597227366.0,60982567788.0,726084933122.0,228311468266.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
174,ACL,2011,HOSE,1288040580290.0,114883395343.0,120557687084.0,793377690095.0,298094921409.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
175,ACL,2012,HOSE,1032194837449.0,15114034870.0,17412073254.0,831752811317.0,275224416055.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
176,ACL,2013,HOSE,987211658990.0,5148217772.0,5458672690.0,718956641775.0,268994651051.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
177,ACL,2014,HOSE,854489733407.0,12312210987.0,14088558216.0,837340913180.0,280388492770.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
178,ACL,2015,HOSE,1139475146351.0,29132663973.0,30395123321.0,1209724617670.0,300321319243.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
179,ACL,2016,HOSE,1289474020241.0,23502703307.0,24006227447.0,1185062703460.0,352384217550.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
180,ACL,2017,HOSE,1187698929193.0,21578362657.0,23212569761.0,1099634179516.0,373962580207.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
181,ACL,2018,HOSE,1688853524404.0,230400225707.0,259029826561.0,1343377979470.0,558763455914.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
182,ACL,2019,HOSE,1417534830645.0,141712527957.0,157895520773.0,1461188059832.0,666276471371.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
183,ACL,2020,HOSE,951757295297.0,28183404907.0,31082076322.0,1659542087782.0,694459876278.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
184,ACL,2021,HOSE,1213721451306.0,42088175559.0,47803297191.0,1458179314834.0,706452640437.0,,Thực phẩm,Thực phẩm & Đồ uống,Hàng tiêu dùng thiết yếu,14
190,ACM,2013,HNX,106955853512.0,83323694.0,83323694.0,279246222910.0,115330207593.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
191,ACM,2014,HNX,86118427480.0,11836527103.0,11836527103.0,224522163481.0,127166734696.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
192,ACM,2015,HNX,276468040028.0,45747964519.0,45747964519.0,654722400528.0,556914699215.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
193,ACM,2016,HNX,126242986568.0,8661675148.0,9880702970.0,682528145312.0,538976374363.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
194,ACM,2017,HNX,16854958000.0,-27335502032.0,-27335502032.0,644479201433.0,511786006331.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
195,ACM,2018,HNX,19087166000.0,-82841505096.0,-82841505096.0,569366916159.0,428944501235.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
196,ACM,2019,HNX,14979600000.0,119867986.0,587641757.0,580256410374.0,429064369221.0,,Kim loại không chứa sắt,Kim loại & Khai khoáng,Nguyên vật liệu,9
